id	village	rus_village	lat	lon	lang	aff	family	standard	default_level	dialect_toplevel	dialect_toplevel_cyr	dialect_nt1	dialect_nt1_cyr	dialect_nt2	dialect_nt2_cyr	dialect_nt3	dialect_nt3_cyr	village_dialect	gltc_lang	lang_col	aff_col	dataset_version
629	Kenkhi	Кенхи	42.641667	45.945556	Chamalal	Andic	East Caucasian		Chamalal	Gakvari	Гакваринский	NA	NA	NA	NA	NA	NA	Kenkhi	cham1309	#000099	#9900ff	2022-03-07
634	Khulandoy	Хуландой	42.553333	45.754167	Chechen	Nakh	East Caucasian		Chechen	Sharoy	Шароевский	NA	NA	NA	NA	NA	NA	Khulandoy	chec1245	#996600	#996633	2022-03-07
635	Kesaloy	Кесалой	42.602778	45.74	Chechen	Nakh	East Caucasian		Chechen	NA	NA	NA	NA	NA	NA	NA	NA	Kesaloy	chec1245	#996600	#996633	2022-03-07
636	Khakmadoy	Хакмадой	42.620556	45.83	Chechen	Nakh	East Caucasian		Chechen	NA	NA	NA	NA	NA	NA	NA	NA	Khakmadoy	chec1245	#996600	#996633	2022-03-07
637	Chayry	Чайры	42.620556	45.909722	Chechen	Nakh	East Caucasian		Chechen	NA	NA	NA	NA	NA	NA	NA	NA	Chayry	chec1245	#996600	#996633	2022-03-07
638	Sharoy	Шарой	42.629722	45.81	Chechen	Nakh	East Caucasian		Chechen	NA	NA	NA	NA	NA	NA	NA	NA	Sharoy	chec1245	#996600	#996633	2022-03-07
639	Shikaroy	Шикарой	42.630278	45.760556	Chechen	Nakh	East Caucasian		Chechen	NA	NA	NA	NA	NA	NA	NA	NA	Shikaroy	chec1245	#996600	#996633	2022-03-07
640	Shkolkhe	Школхе	42.63929	45.935388	Chechen	Nakh	East Caucasian		Chechen	NA	NA	NA	NA	NA	NA	NA	NA	Shkolkhe	chec1245	#996600	#996633	2022-03-07
641	Khimoy	Химой	42.654444	45.852222	Chechen	Nakh	East Caucasian		Chechen	NA	NA	NA	NA	NA	NA	NA	NA	Khimoy	chec1245	#996600	#996633	2022-03-07
642	Buti	Бути	42.661389	45.97	Chechen	Nakh	East Caucasian		Chechen	NA	NA	NA	NA	NA	NA	NA	NA	Buti	chec1245	#996600	#996633	2022-03-07
643	Kiri	Кири	42.674722	45.914167	Chechen	Nakh	East Caucasian		Chechen	Sharoy	Шароевский	NA	NA	NA	NA	NA	NA	Kiri	chec1245	#996600	#996633	2022-03-07
644	Verkhniy Camadoy	Верхний Цамадой	42.675278	45.644722	Chechen	Nakh	East Caucasian		Chechen	NA	NA	NA	NA	NA	NA	NA	NA	Verkhniy Camadoy	chec1245	#996600	#996633	2022-03-07
645	Kheldi	Хелди	42.675278	45.644722	Chechen	Nakh	East Caucasian		Chechen	NA	NA	NA	NA	NA	NA	NA	NA	Kheldi	chec1245	#996600	#996633	2022-03-07
646	Cesi	Цеси	42.680278	45.790833	Chechen	Nakh	East Caucasian		Chechen	NA	NA	NA	NA	NA	NA	NA	NA	Cesi	chec1245	#996600	#996633	2022-03-07
647	Veduchi	Ведучи	42.684722	45.568611	Chechen	Nakh	East Caucasian		Chechen	Itum-Kali	Итум-калинский	Chanti	Чантинский	NA	NA	NA	NA	Veduchi	chec1245	#996600	#996633	2022-03-07
648	Sakan-iiste	Сакан-Иисте	42.689444	45.476389	Chechen	Nakh	East Caucasian		Chechen	NA	NA	NA	NA	NA	NA	NA	NA	Sakan-iiste	chec1245	#996600	#996633	2022-03-07
649	Shundili	Шундили	42.698533	45.417414	Chechen	Nakh	East Caucasian		Chechen	NA	NA	NA	NA	NA	NA	NA	NA	Shundili	chec1245	#996600	#996633	2022-03-07
650	Lyunki	Люнки	42.70167	45.47944	Chechen	Nakh	East Caucasian		Chechen	NA	NA	NA	NA	NA	NA	NA	NA	Lyunki	chec1245	#996600	#996633	2022-03-07
651	Sadoy	Садой	42.701835	46.063155	Chechen	Nakh	East Caucasian		Chechen	Cheberloy	Чеберлоевский	NA	NA	NA	NA	NA	NA	Sadoy	chec1245	#996600	#996633	2022-03-07
652	Doza	Доза	42.70201	45.28279	Chechen	Nakh	East Caucasian		Chechen	NA	NA	NA	NA	NA	NA	NA	NA	Doza	chec1245	#996600	#996633	2022-03-07
653	Khindoy	Хиндой	42.703677	46.006265	Chechen	Nakh	East Caucasian		Chechen	Cheberloy	Чеберлоевский	NA	NA	NA	NA	NA	NA	Khindoy	chec1245	#996600	#996633	2022-03-07
654	Kamalkhi	Камалхи	42.706181	45.280203	Chechen	Nakh	East Caucasian		Chechen	NA	NA	NA	NA	NA	NA	NA	NA	Kamalkhi	chec1245	#996600	#996633	2022-03-07
655	Tazbichi	Тазбичи	42.707778	45.597222	Chechen	Nakh	East Caucasian		Chechen	NA	NA	NA	NA	NA	NA	NA	NA	Tazbichi	chec1245	#996600	#996633	2022-03-07
656	Pezhey	Пежей	42.713149	45.427287	Chechen	Nakh	East Caucasian		Chechen	NA	NA	NA	NA	NA	NA	NA	NA	Pezhey	chec1245	#996600	#996633	2022-03-07
657	Malilaul	Малилаул	42.714121	46.046985	Chechen	Nakh	East Caucasian		Chechen	NA	NA	NA	NA	NA	NA	NA	NA	Malilaul	chec1245	#996600	#996633	2022-03-07
658	Cacakh	Цацах	42.714722	45.504167	Chechen	Nakh	East Caucasian		Chechen	NA	NA	NA	NA	NA	NA	NA	NA	Cacakh	chec1245	#996600	#996633	2022-03-07
659	Korotakh	Коротах	42.7175	45.263333	Chechen	Nakh	East Caucasian		Chechen	NA	NA	NA	NA	NA	NA	NA	NA	Korotakh	chec1245	#996600	#996633	2022-03-07
660	Khorci-pada	Хорци-Пада	42.718039	45.410685	Chechen	Nakh	East Caucasian		Chechen	NA	NA	NA	NA	NA	NA	NA	NA	Khorci-pada	chec1245	#996600	#996633	2022-03-07
661	Bechigi	Бечиги	42.72	45.49	Chechen	Nakh	East Caucasian		Chechen	NA	NA	NA	NA	NA	NA	NA	NA	Bechigi	chec1245	#996600	#996633	2022-03-07
662	Basty	Басты	42.72353	45.28124	Chechen	Nakh	East Caucasian		Chechen	NA	NA	NA	NA	NA	NA	NA	NA	Basty	chec1245	#996600	#996633	2022-03-07
663	Tuskharoy	Тусхарой	42.724444	45.530278	Chechen	Nakh	East Caucasian		Chechen	NA	NA	NA	NA	NA	NA	NA	NA	Tuskharoy	chec1245	#996600	#996633	2022-03-07
664	Kharkaroy	Харкарой	42.72463	46.068851	Chechen	Nakh	East Caucasian		Chechen	NA	NA	NA	NA	NA	NA	NA	NA	Kharkaroy	chec1245	#996600	#996633	2022-03-07
665	Arsoy	Арсой	42.725755	46.034167	Chechen	Nakh	East Caucasian		Chechen	NA	NA	NA	NA	NA	NA	NA	NA	Arsoy	chec1245	#996600	#996633	2022-03-07
666	Buni	Буни	42.725755	46.034167	Chechen	Nakh	East Caucasian		Chechen	Cheberloy	Чеберлоевский	Upper Cheberloy	Верхнечеберлоевский	NA	NA	NA	NA	Buni	chec1245	#996600	#996633	2022-03-07
667	Kulinkhoy	Кулинхой	42.725755	46.034167	Chechen	Nakh	East Caucasian		Chechen	NA	NA	NA	NA	NA	NA	NA	NA	Kulinkhoy	chec1245	#996600	#996633	2022-03-07
668	Rigakhoy	Ригахой	42.725755	46.034167	Chechen	Nakh	East Caucasian		Chechen	NA	NA	NA	NA	NA	NA	NA	NA	Rigakhoy	chec1245	#996600	#996633	2022-03-07
669	Sakhani	Сахани	42.725931	45.22735	Chechen	Nakh	East Caucasian		Chechen	NA	NA	NA	NA	NA	NA	NA	NA	Sakhani	chec1245	#996600	#996633	2022-03-07
670	Baskhoy	Басхой	42.726667	45.4225	Chechen	Nakh	East Caucasian		Chechen	NA	NA	NA	NA	NA	NA	NA	NA	Baskhoy	chec1245	#996600	#996633	2022-03-07
671	Pezh-baskhoy	Пеж-басхой	42.726787	45.423122	Chechen	Nakh	East Caucasian		Chechen	NA	NA	NA	NA	NA	NA	NA	NA	Pezh-baskhoy	chec1245	#996600	#996633	2022-03-07
672	Boturchu	Ботурчу	42.72694	45.54556	Chechen	Nakh	East Caucasian		Chechen	NA	NA	NA	NA	NA	NA	NA	NA	Boturchu	chec1245	#996600	#996633	2022-03-07
673	Tunzhi-aul	Тунжи-аул	42.727656	46.048118	Chechen	Nakh	East Caucasian		Chechen	NA	NA	NA	NA	NA	NA	NA	NA	Tunzhi-aul	chec1245	#996600	#996633	2022-03-07
674	Beki	Беки	42.7291	45.368891	Chechen	Nakh	East Caucasian		Chechen	NA	NA	NA	NA	NA	NA	NA	NA	Beki	chec1245	#996600	#996633	2022-03-07
675	Tongakhoy	Тонгахой	42.729134	45.465145	Chechen	Nakh	East Caucasian		Chechen	NA	NA	NA	NA	NA	NA	NA	NA	Tongakhoy	chec1245	#996600	#996633	2022-03-07
676	Itum-kali	Итум-кали	42.730833	45.571944	Chechen	Nakh	East Caucasian		Chechen	Itum-Kali	Итум-калинский	Chanti	Чантинский	NA	NA	NA	NA	Itum-kali	chec1245	#996600	#996633	2022-03-07
677	Korichu	Коричу	42.73195	45.4	Chechen	Nakh	East Caucasian		Chechen	NA	NA	NA	NA	NA	NA	NA	NA	Korichu	chec1245	#996600	#996633	2022-03-07
678	Shundi	Шунди	42.732778	45.358611	Chechen	Nakh	East Caucasian		Chechen	NA	NA	NA	NA	NA	NA	NA	NA	Shundi	chec1245	#996600	#996633	2022-03-07
679	Shyunda	Шюнда	42.732778	45.358611	Chechen	Nakh	East Caucasian		Chechen	NA	NA	NA	NA	NA	NA	NA	NA	Shyunda	chec1245	#996600	#996633	2022-03-07
680	Kay	Кай	42.7332	45.25552	Chechen	Nakh	East Caucasian		Chechen	NA	NA	NA	NA	NA	NA	NA	NA	Kay	chec1245	#996600	#996633	2022-03-07
681	Gezakh	Гезах	42.733611	45.441667	Chechen	Nakh	East Caucasian		Chechen	NA	NA	NA	NA	NA	NA	NA	NA	Gezakh	chec1245	#996600	#996633	2022-03-07
682	Gezekhoy	Гезехой	42.733611	45.441667	Chechen	Nakh	East Caucasian		Chechen	NA	NA	NA	NA	NA	NA	NA	NA	Gezekhoy	chec1245	#996600	#996633	2022-03-07
683	Tundukh	Тундух	42.734574	46.04	Chechen	Nakh	East Caucasian		Chechen	Cheberloy	Чеберлоевский	NA	NA	NA	NA	NA	NA	Tundukh	chec1245	#996600	#996633	2022-03-07
684	Ikil'chi	Икильчи	42.735345	45.212748	Chechen	Nakh	East Caucasian		Chechen	NA	NA	NA	NA	NA	NA	NA	NA	Ikil'chi	chec1245	#996600	#996633	2022-03-07
685	Ikharoy	Ихарой	42.735663	46.083421	Chechen	Nakh	East Caucasian		Chechen	NA	NA	NA	NA	NA	NA	NA	NA	Ikharoy	chec1245	#996600	#996633	2022-03-07
686	Erstakho	Эрстахо	42.736111	45.396389	Chechen	Nakh	East Caucasian		Chechen	NA	NA	NA	NA	NA	NA	NA	NA	Erstakho	chec1245	#996600	#996633	2022-03-07
687	Erstakhoy	Эрстахой	42.736111	45.396389	Chechen	Nakh	East Caucasian		Chechen	NA	NA	NA	NA	NA	NA	NA	NA	Erstakhoy	chec1245	#996600	#996633	2022-03-07
688	Obuzalaul	Обузалаул	42.736781	46.064346	Chechen	Nakh	East Caucasian		Chechen	NA	NA	NA	NA	NA	NA	NA	NA	Obuzalaul	chec1245	#996600	#996633	2022-03-07
689	Nakhorusty	Нахорусты	42.736884	45.242665	Chechen	Nakh	East Caucasian		Chechen	NA	NA	NA	NA	NA	NA	NA	NA	Nakhorusty	chec1245	#996600	#996633	2022-03-07
690	Cinchemekhi	Цинчемехи	42.737644	45.227823	Chechen	Nakh	East Caucasian		Chechen	NA	NA	NA	NA	NA	NA	NA	NA	Cinchemekhi	chec1245	#996600	#996633	2022-03-07
691	Charydy	Чарыды	42.738027	45.904195	Chechen	Nakh	East Caucasian		Chechen	NA	NA	NA	NA	NA	NA	NA	NA	Charydy	chec1245	#996600	#996633	2022-03-07
692	Baskho	Басхо	42.741171	45.547363	Chechen	Nakh	East Caucasian		Chechen	NA	NA	NA	NA	NA	NA	NA	NA	Baskho	chec1245	#996600	#996633	2022-03-07
693	Benesty	Бенесты	42.741458	45.221111	Chechen	Nakh	East Caucasian		Chechen	NA	NA	NA	NA	NA	NA	NA	NA	Benesty	chec1245	#996600	#996633	2022-03-07
694	Khildekharoy	Хилдехарой	42.748333	45.667778	Chechen	Nakh	East Caucasian		Chechen	NA	NA	NA	NA	NA	NA	NA	NA	Khildekharoy	chec1245	#996600	#996633	2022-03-07
695	Terta	Терта	42.74854	45.19644	Chechen	Nakh	East Caucasian		Chechen	NA	NA	NA	NA	NA	NA	NA	NA	Terta	chec1245	#996600	#996633	2022-03-07
696	Makazhoy	Макажой	42.749168	46.064999	Chechen	Nakh	East Caucasian		Chechen	Cheberloy	Чеберлоевский	Upper Cheberloy	Верхнечеберлоевский	NA	NA	NA	NA	Makazhoy	chec1245	#996600	#996633	2022-03-07
697	Kokadoy	Кокадой	42.749722	45.583889	Chechen	Nakh	East Caucasian		Chechen	NA	NA	NA	NA	NA	NA	NA	NA	Kokadoy	chec1245	#996600	#996633	2022-03-07
698	El'deporoy	Эльдепорой	42.75036	45.3921	Chechen	Nakh	East Caucasian		Chechen	NA	NA	NA	NA	NA	NA	NA	NA	El'deporoy	chec1245	#996600	#996633	2022-03-07
699	Khoy	Хой	42.750984	46.127223	Chechen	Nakh	East Caucasian		Chechen	Cheberloy	Чеберлоевский	NA	NA	NA	NA	NA	NA	Khoy	chec1245	#996600	#996633	2022-03-07
700	Alikhanaul	Алиханаул	42.751391	46.050726	Chechen	Nakh	East Caucasian		Chechen	NA	NA	NA	NA	NA	NA	NA	NA	Alikhanaul	chec1245	#996600	#996633	2022-03-07
701	Charakhaul	Чарахаул	42.751768	46.05799	Chechen	Nakh	East Caucasian		Chechen	NA	NA	NA	NA	NA	NA	NA	NA	Charakhaul	chec1245	#996600	#996633	2022-03-07
702	Meshi	Меши	42.752222	45.178611	Chechen	Nakh	East Caucasian		Chechen	Melkhi	Мелхинский	NA	NA	NA	NA	NA	NA	Meshi	chec1245	#996600	#996633	2022-03-07
703	Bugaroy	Бугарой	42.754722	45.616667	Chechen	Nakh	East Caucasian		Chechen	NA	NA	NA	NA	NA	NA	NA	NA	Bugaroy	chec1245	#996600	#996633	2022-03-07
704	Ari-aul	Ари-аул	42.755433	46.027349	Chechen	Nakh	East Caucasian		Chechen	NA	NA	NA	NA	NA	NA	NA	NA	Ari-aul	chec1245	#996600	#996633	2022-03-07
705	Senakhoy	Сенахой	42.757193	45.410183	Chechen	Nakh	East Caucasian		Chechen	NA	NA	NA	NA	NA	NA	NA	NA	Senakhoy	chec1245	#996600	#996633	2022-03-07
706	Nokhchi-keloy	Нохчи-келой	42.757485	45.93201	Chechen	Nakh	East Caucasian		Chechen	Cheberloy	Чеберлоевский	Day	Дайский	NA	NA	NA	NA	Nokhchi-keloy	chec1245	#996600	#996633	2022-03-07
707	Bavloy	Бавлой	42.7575	45.450833	Chechen	Nakh	East Caucasian		Chechen	NA	NA	NA	NA	NA	NA	NA	NA	Bavloy	chec1245	#996600	#996633	2022-03-07
708	Bauloy	Баулой	42.7575	45.450833	Chechen	Nakh	East Caucasian		Chechen	NA	NA	NA	NA	NA	NA	NA	NA	Bauloy	chec1245	#996600	#996633	2022-03-07
709	Kezenoy	Кезеной	42.758113	46.120906	Chechen	Nakh	East Caucasian		Chechen	NA	NA	NA	NA	NA	NA	NA	NA	Kezenoy	chec1245	#996600	#996633	2022-03-07
710	Zumsoy	Зумсой	42.758333	45.640278	Chechen	Nakh	East Caucasian		Chechen	NA	NA	NA	NA	NA	NA	NA	NA	Zumsoy	chec1245	#996600	#996633	2022-03-07
711	Tukhoy	Тухой	42.759357	45.436405	Chechen	Nakh	East Caucasian		Chechen	NA	NA	NA	NA	NA	NA	NA	NA	Tukhoy	chec1245	#996600	#996633	2022-03-07
712	Konzhukhoy	Конжухой	42.76104	45.591216	Chechen	Nakh	East Caucasian		Chechen	NA	NA	NA	NA	NA	NA	NA	NA	Konzhukhoy	chec1245	#996600	#996633	2022-03-07
713	Dzhelashkhoy	Джелашхой	42.762717	45.401728	Chechen	Nakh	East Caucasian		Chechen	NA	NA	NA	NA	NA	NA	NA	NA	Dzhelashkhoy	chec1245	#996600	#996633	2022-03-07
714	Kenakho	Кенахо	42.763056	45.357778	Chechen	Nakh	East Caucasian		Chechen	NA	NA	NA	NA	NA	NA	NA	NA	Kenakho	chec1245	#996600	#996633	2022-03-07
715	Dzheloshka	Джелошка	42.764119	46.062327	Chechen	Nakh	East Caucasian		Chechen	NA	NA	NA	NA	NA	NA	NA	NA	Dzheloshka	chec1245	#996600	#996633	2022-03-07
716	Ezikho	Эзихо	42.766389	45.503611	Chechen	Nakh	East Caucasian		Chechen	NA	NA	NA	NA	NA	NA	NA	NA	Ezikho	chec1245	#996600	#996633	2022-03-07
717	Kuloy	Кулой	42.767584	45.956857	Chechen	Nakh	East Caucasian		Chechen	NA	NA	NA	NA	NA	NA	NA	NA	Kuloy	chec1245	#996600	#996633	2022-03-07
718	Oshni	Ошни	42.770556	45.378333	Chechen	Nakh	East Caucasian		Chechen	Galanchozh	Галанчожский	NA	NA	NA	NA	NA	NA	Oshni	chec1245	#996600	#996633	2022-03-07
719	Idakh	Идах	42.771111	45.448333	Chechen	Nakh	East Caucasian		Chechen	NA	NA	NA	NA	NA	NA	NA	NA	Idakh	chec1245	#996600	#996633	2022-03-07
720	Day	Дай	42.771944	45.854722	Chechen	Nakh	East Caucasian		Chechen	Cheberloy	Чеберлоевский	Day	Дайский	NA	NA	NA	NA	Day	chec1245	#996600	#996633	2022-03-07
721	Bosoy	Босой	42.776391	45.902043	Chechen	Nakh	East Caucasian		Chechen	Cheberloy	Чеберлоевский	NA	NA	NA	NA	NA	NA	Bosoy	chec1245	#996600	#996633	2022-03-07
722	Ushkaloy	Ушкалой	42.777778	45.611389	Chechen	Nakh	East Caucasian		Chechen	NA	NA	NA	NA	NA	NA	NA	NA	Ushkaloy	chec1245	#996600	#996633	2022-03-07
723	Celtakumoy	Целтакумой	42.780514	45.459004	Chechen	Nakh	East Caucasian		Chechen	NA	NA	NA	NA	NA	NA	NA	NA	Celtakumoy	chec1245	#996600	#996633	2022-03-07
724	Chubakh-keneroy	Чубах-кенерой	42.781034	45.915814	Chechen	Nakh	East Caucasian		Chechen	NA	NA	NA	NA	NA	NA	NA	NA	Chubakh-keneroy	chec1245	#996600	#996633	2022-03-07
725	Geshi	Геши	42.783688	45.317959	Chechen	Nakh	East Caucasian		Chechen	NA	NA	NA	NA	NA	NA	NA	NA	Geshi	chec1245	#996600	#996633	2022-03-07
726	Mockaroy	Моцкарой	42.78464	45.38695	Chechen	Nakh	East Caucasian		Chechen	NA	NA	NA	NA	NA	NA	NA	NA	Mockaroy	chec1245	#996600	#996633	2022-03-07
727	Achaloy	Ачалой	42.784786	45.971356	Chechen	Nakh	East Caucasian		Chechen	Cheberloy	Чеберлоевский	NA	NA	NA	NA	NA	NA	Achaloy	chec1245	#996600	#996633	2022-03-07
728	Pyetyeaul	Пыетыеаул	42.7862	46.006488	Chechen	Nakh	East Caucasian		Chechen	NA	NA	NA	NA	NA	NA	NA	NA	Pyetyeaul	chec1245	#996600	#996633	2022-03-07
729	Tushikaul	Тушикаул	42.789305	46.018159	Chechen	Nakh	East Caucasian		Chechen	NA	NA	NA	NA	NA	NA	NA	NA	Tushikaul	chec1245	#996600	#996633	2022-03-07
730	Gemoroy	Геморой	42.791802	45.30704	Chechen	Nakh	East Caucasian		Chechen	NA	NA	NA	NA	NA	NA	NA	NA	Gemoroy	chec1245	#996600	#996633	2022-03-07
731	Meshteroy	Мештерой	42.791802	45.30704	Chechen	Nakh	East Caucasian		Chechen	NA	NA	NA	NA	NA	NA	NA	NA	Meshteroy	chec1245	#996600	#996633	2022-03-07
732	Gukhoy	Гухой	42.791944	45.55	Chechen	Nakh	East Caucasian		Chechen	Itum-Kali	Итум-калинский	Chinkhoy	Чинхойский	NA	NA	NA	NA	Gukhoy	chec1245	#996600	#996633	2022-03-07
733	Chokhoy	Чохой	42.79528	45.47041	Chechen	Nakh	East Caucasian		Chechen	NA	NA	NA	NA	NA	NA	NA	NA	Chokhoy	chec1245	#996600	#996633	2022-03-07
734	Mamonaul	Мамонаул	42.795508	46.018485	Chechen	Nakh	East Caucasian		Chechen	NA	NA	NA	NA	NA	NA	NA	NA	Mamonaul	chec1245	#996600	#996633	2022-03-07
735	Sanoy	Саной	42.796389	45.791111	Chechen	Nakh	East Caucasian		Chechen	Cheberloy	Чеберлоевский	Day	Дайский	NA	NA	NA	NA	Sanoy	chec1245	#996600	#996633	2022-03-07
736	Guchum-kali	Гучум-кали	42.796944	45.63	Chechen	Nakh	East Caucasian		Chechen	Itum-Kali	Итум-калинский	NA	NA	NA	NA	NA	NA	Guchum-kali	chec1245	#996600	#996633	2022-03-07
737	Bekeyaul	Бекейаул	42.798395	45.975564	Chechen	Nakh	East Caucasian		Chechen	NA	NA	NA	NA	NA	NA	NA	NA	Bekeyaul	chec1245	#996600	#996633	2022-03-07
738	Nizhniy kiy	Нижний кий	42.8	45.266667	Chechen	Nakh	East Caucasian		Chechen	NA	NA	NA	NA	NA	NA	NA	NA	Nizhniy kiy	chec1245	#996600	#996633	2022-03-07
739	Otta	Отта	42.80278	45.38437	Chechen	Nakh	East Caucasian		Chechen	NA	NA	NA	NA	NA	NA	NA	NA	Otta	chec1245	#996600	#996633	2022-03-07
740	Chureymokhk	Чуреймохк	42.805749	45.950235	Chechen	Nakh	East Caucasian		Chechen	NA	NA	NA	NA	NA	NA	NA	NA	Chureymokhk	chec1245	#996600	#996633	2022-03-07
741	Bashin-kali	Башин-кали	42.805843	45.619154	Chechen	Nakh	East Caucasian		Chechen	NA	NA	NA	NA	NA	NA	NA	NA	Bashin-kali	chec1245	#996600	#996633	2022-03-07
742	Arapoaul	Арапоаул	42.807979	45.971635	Chechen	Nakh	East Caucasian		Chechen	NA	NA	NA	NA	NA	NA	NA	NA	Arapoaul	chec1245	#996600	#996633	2022-03-07
743	Verkhniy Kiy	Верхний кий	42.808056	45.2475	Chechen	Nakh	East Caucasian		Chechen	NA	NA	NA	NA	NA	NA	NA	NA	Verkhniy Kiy	chec1245	#996600	#996633	2022-03-07
744	Verkhniy-bara	Верхний-бара	42.809444	45.42	Chechen	Nakh	East Caucasian		Chechen	NA	NA	NA	NA	NA	NA	NA	NA	Verkhniy-bara	chec1245	#996600	#996633	2022-03-07
745	Tarsenaul	Тарсенаул	42.810232	46.031935	Chechen	Nakh	East Caucasian		Chechen	NA	NA	NA	NA	NA	NA	NA	NA	Tarsenaul	chec1245	#996600	#996633	2022-03-07
746	Kurakhi	Курахи	42.811878	45.300976	Chechen	Nakh	East Caucasian		Chechen	NA	NA	NA	NA	NA	NA	NA	NA	Kurakhi	chec1245	#996600	#996633	2022-03-07
747	Sharo-argun	Шаро-аргун	42.812222	45.818056	Chechen	Nakh	East Caucasian		Chechen	Cheberloy	Чеберлоевский	Day	Дайский	NA	NA	NA	NA	Sharo-argun	chec1245	#996600	#996633	2022-03-07
748	Nezheloy	Нежелой	42.813029	45.905298	Chechen	Nakh	East Caucasian		Chechen	NA	NA	NA	NA	NA	NA	NA	NA	Nezheloy	chec1245	#996600	#996633	2022-03-07
749	Bushni	Бушни	42.81474	45.3854	Chechen	Nakh	East Caucasian		Chechen	NA	NA	NA	NA	NA	NA	NA	NA	Bushni	chec1245	#996600	#996633	2022-03-07
750	Mulkoy	Мулкой	42.815278	45.534167	Chechen	Nakh	East Caucasian		Chechen	NA	NA	NA	NA	NA	NA	NA	NA	Mulkoy	chec1245	#996600	#996633	2022-03-07
751	Baginaul	Багинаул	42.816586	45.926653	Chechen	Nakh	East Caucasian		Chechen	NA	NA	NA	NA	NA	NA	NA	NA	Baginaul	chec1245	#996600	#996633	2022-03-07
752	Bakinaul	Бакинаул	42.818714	45.930168	Chechen	Nakh	East Caucasian		Chechen	NA	NA	NA	NA	NA	NA	NA	NA	Bakinaul	chec1245	#996600	#996633	2022-03-07
753	Pariaul	Париаул	42.821457	46.024116	Chechen	Nakh	East Caucasian		Chechen	NA	NA	NA	NA	NA	NA	NA	NA	Pariaul	chec1245	#996600	#996633	2022-03-07
754	Nikaroy	Никарой	42.822218	45.366323	Chechen	Nakh	East Caucasian		Chechen	Galanchozh	Галанчожский	NA	NA	NA	NA	NA	NA	Nikaroy	chec1245	#996600	#996633	2022-03-07
755	Keymekhki	Кеймехки	42.8225	45.224167	Chechen	Nakh	East Caucasian		Chechen	NA	NA	NA	NA	NA	NA	NA	NA	Keymekhki	chec1245	#996600	#996633	2022-03-07
756	Bogacheroy	Богачерой	42.824533	45.86431	Chechen	Nakh	East Caucasian		Chechen	NA	NA	NA	NA	NA	NA	NA	NA	Bogacheroy	chec1245	#996600	#996633	2022-03-07
757	Erdychi	Ердычи	42.830556	45.190278	Chechen	Nakh	East Caucasian		Chechen	NA	NA	NA	NA	NA	NA	NA	NA	Erdychi	chec1245	#996600	#996633	2022-03-07
758	Tumsoy	Тумсой	42.833333	45.63	Chechen	Nakh	East Caucasian		Chechen	NA	NA	NA	NA	NA	NA	NA	NA	Tumsoy	chec1245	#996600	#996633	2022-03-07
759	Gaziaul	Газиаул	42.833774	45.936593	Chechen	Nakh	East Caucasian		Chechen	NA	NA	NA	NA	NA	NA	NA	NA	Gaziaul	chec1245	#996600	#996633	2022-03-07
760	Musolt-aul	Мусолт-аул	42.833849	45.772461	Chechen	Nakh	East Caucasian		Chechen	NA	NA	NA	NA	NA	NA	NA	NA	Musolt-aul	chec1245	#996600	#996633	2022-03-07
761	Dzhubikaul	Джубикаул	42.834107	45.924044	Chechen	Nakh	East Caucasian		Chechen	NA	NA	NA	NA	NA	NA	NA	NA	Dzhubikaul	chec1245	#996600	#996633	2022-03-07
762	Dekh-yiste	Дех-йисте	42.835555	45.731973	Chechen	Nakh	East Caucasian		Chechen	NA	NA	NA	NA	NA	NA	NA	NA	Dekh-yiste	chec1245	#996600	#996633	2022-03-07
763	Ochaki	Очаки	42.838889	45.322222	Chechen	Nakh	East Caucasian		Chechen	NA	NA	NA	NA	NA	NA	NA	NA	Ochaki	chec1245	#996600	#996633	2022-03-07
764	Khal-kiloy	Хал-килой	42.838889	45.818056	Chechen	Nakh	East Caucasian		Chechen	NA	NA	NA	NA	NA	NA	NA	NA	Khal-kiloy	chec1245	#996600	#996633	2022-03-07
765	Kozhvinchu	Кожвинчу	42.840278	45.223611	Chechen	Nakh	East Caucasian		Chechen	NA	NA	NA	NA	NA	NA	NA	NA	Kozhvinchu	chec1245	#996600	#996633	2022-03-07
766	Nikhaloy	Нихалой	42.840278	45.662778	Chechen	Nakh	East Caucasian		Chechen	Itum-Kali	Итум-калинский	NA	NA	NA	NA	NA	NA	Nikhaloy	chec1245	#996600	#996633	2022-03-07
767	Satti	Сатти	42.840278	45.706111	Chechen	Nakh	East Caucasian		Chechen	NA	NA	NA	NA	NA	NA	NA	NA	Satti	chec1245	#996600	#996633	2022-03-07
768	Khakhalgi	Хахалги	42.840278	45.155556	Chechen	Nakh	East Caucasian		Chechen	NA	NA	NA	NA	NA	NA	NA	NA	Khakhalgi	chec1245	#996600	#996633	2022-03-07
769	Aslanbek-sheripovo	Асланбек-шерипово	42.841637	45.754997	Chechen	Nakh	East Caucasian		Chechen	NA	NA	NA	NA	NA	NA	NA	NA	Aslanbek-sheripovo	chec1245	#996600	#996633	2022-03-07
770	Muskali	Мускали	42.841914	45.736043	Chechen	Nakh	East Caucasian		Chechen	NA	NA	NA	NA	NA	NA	NA	NA	Muskali	chec1245	#996600	#996633	2022-03-07
